Cycle,A1,B1,C1,D1,E1,F1
1,-102.1907317,-96.30817055,-30.19029068,-57.49941467,-60.70614105,-99.98484117
2,-46.93108181,-39.82287816,-0.970871942,-16.84427271,-11.98263548,-34.50951265
3,-25.55837571,-31.76346298,-3.101424774,-2.281750612,-4.902106381,-3.920844189
4,-9.653744624,-18.28743414,-0.329002046,-2.689852096,2.270370277,6.584477388
5,0.217955884,-7.137898065,-2.261757873,-1.219003985,-4.607813265,2.026008363
6,-4.120021869,5.181347549,2.758136366,2.040065625,1.986393728,2.527337923
7,-3.31820422,9.850165996,4.400847966,3.235314951,2.758393461,3.7259568
8,2.096600531,12.99367931,-1.266393349,1.946029032,-2.923984024,1.927621805
9,8.615751566,9.407948292,3.202303319,-1.289276983,-1.797120368,-3.563736914
10,12.44037572,20.20286434,3.043867105,1.772971194,1.564288483,-4.390159378
11,9.955743277,17.61532797,6.196950336,2.324045455,1.20458164,-5.347119244
12,17.94849463,22.8755867,2.069403717,-1.528797144,4.39526584,0.609603292
13,12.51811644,18.35677999,5.301132617,2.439567081,5.180235935,-2.6613016
14,6.668243301,12.77289399,0.45001239,7.643491344,3.256777125,3.598145541
15,2.093937845,9.988780225,4.655005004,1.739944838,1.307865644,6.72882852
16,-0.180219622,9.820474149,-7.57026794,-3.584302413,-1.311706933,8.19036376
17,7.063292822,12.54449196,1.261913568,4.012399408,2.771868294,22.0082364
18,4.709386735,4.003046432,-0.500904663,3.261818324,4.883771205,32.88129591
19,-3.558926671,3.124582853,-1.855579082,-6.295133058,-2.125339251,58.90946651
20,-9.935119549,-2.235409585,-0.357928261,-0.039299131,-0.94697063,99.33096292
21,-6.687545791,-5.55846808,3.518352649,-2.051970797,0.218671817,149.4668993
22,-3.204123803,-0.311925994,18.96192321,0.392198772,4.710236135,216.6777226
23,-3.073986734,-6.158298727,33.94581106,-2.395564082,-1.471633662,289.0930188
24,-9.698702727,-10.84764435,67.52895853,0.324014808,1.377356563,392.2929432
25,-1.405475971,-5.956151837,127.4542281,-2.345947858,2.713724074,503.2401201
26,12.41045777,-13.36685254,221.3191223,-5.751003213,-0.168520973,622.9500377
27,28.82726359,-10.53796085,384.0598114,-0.744686082,4.047244114,752.8598744
28,51.7633221,-17.22649519,604.1772408,-2.033972001,0.625508347,886.1609583
29,107.0371177,-16.10582818,937.1844041,-4.190296577,0.05585417,1021.726993
30,175.0723566,-14.21007008,1300.962769,-1.063172933,0.552255117,1153.367243
31,254.9117418,-16.42921259,1693.255865,1.340618965,4.503926697,1277.49357
32,341.0221327,-17.16267566,2082.17121,-3.891490927,-2.124309117,1387.64712
33,422.8813741,-16.89734046,2436.240392,6.911912513,7.558555415,1490.137647
34,501.2969432,-8.81085318,2741.731532,4.54584019,5.767242551,1578.773448
35,577.4695817,-10.68792846,2987.735004,1.639247546,4.055152825,1655.610275
36,645.5579892,0.395325532,3181.2565,0.704391793,-1.811321672,1716.107916
37,711.8411723,5.91825632,3319.938925,1.978662364,-2.525848131,1759.552971
38,776.1173738,19.51330481,3415.844632,-1.413466677,0.389237024,1792.898684
39,830.9472846,31.59573058,3480.479389,-0.113343477,-1.744745126,1813.590592
40,876.988277,49.1854981,3532.188644,2.185520453,-7.651016138,1831.605046
