Cycle,A1,B1,C1,D1,E1,F1,G1,Manuel
1,-732.1375325,-449.6164517,-50.44968413,-30.12300719,-109.2471723,-10.72930238,-5.866000353,-37.36428453
2,-402.1475941,-236.5798568,-20.7689145,15.92043891,-80.61017459,-10.3626596,-8.170703556,1.115912113
3,-294.3310677,-171.3286773,-14.07786005,11.93641812,-71.21792844,-7.3527423,-5.060291296,7.851901056
4,-322.3491431,-143.0789536,8.136232058,13.64241239,-60.41793555,-6.828579961,-3.264461184,14.99518863
5,-299.7957381,-100.0931487,12.06729795,5.925317952,-54.69270661,-3.674730808,-3.506319343,8.916185655
6,-277.0246983,-84.76335722,16.98422599,14.57271863,-41.39505223,1.043550568,0.090798275,6.622586779
7,-231.6954614,-78.87274192,13.97395394,10.7852695,-31.20064807,-2.244330794,-2.84562237,-4.63729666
8,-196.6449811,-61.41372724,14.7761224,13.55654158,-23.1486794,3.223085125,4.787571952,-2.659058247
9,-142.8839554,-39.89296272,11.02998066,10.37368148,-13.43941876,4.089324716,2.166888301,-4.375119137
10,-95.64754804,-12.93143917,3.209854743,8.781489767,-2.798243993,2.800528141,-0.046006704,28.25720877
11,-78.08995924,-13.07322697,2.473349293,1.012470763,0.324693465,0.485918741,-2.416944199,97.92952565
12,-35.13825935,-1.240857275,-3.914150721,2.810388003,9.718113023,1.878478845,0.837504133,241.7764508
13,-44.53281528,1.207042037,7.417358519,-0.884417247,13.24880366,-5.392134779,-0.901855015,522.6153285
14,4.891844553,11.05457859,28.0410199,7.841287309,21.52425441,-0.897886881,-4.337768239,1007.24738
15,16.56478955,11.70202767,57.09040194,16.44966515,26.18542332,0.639545505,-0.083359712,1840.90587
16,47.66720503,32.39355691,126.4418382,35.24446678,36.01150858,-0.978994042,1.659685369,2762.208189
17,70.949444,30.91133466,259.6482936,71.90343533,50.01937859,5.14581671,5.993115141,3735.894787
18,105.8204627,22.72550388,496.6845063,142.9485956,51.19626505,1.372869226,2.347734622,4655.173934
19,127.6130321,40.80101264,879.9524829,273.6811369,60.45776955,-2.216707919,2.316319705,5482.501945
20,140.1249681,36.03209196,1464.661128,480.6928365,71.05992147,2.158660278,6.885349854,6231.550284
21,162.7769883,36.12736789,2080.346914,772.8811454,79.69142014,-2.587559644,-2.88602476,6900.952874
22,194.8003427,38.39036242,2719.583666,875.3627626,85.74521654,3.392378826,1.868119971,7497.452753
23,205.8928332,34.5408978,3353.132968,919.351358,90.52421189,0.210346352,1.377211046,8013.874441
24,240.1746241,38.48725948,3978.913962,910.8976508,97.02576909,1.037703632,1.280225966,8468.44233
25,252.946062,31.44525855,4603.976252,904.4418474,97.42735146,0.195474646,-3.49622553,8848.925611
26,250.4049386,39.22900892,5201.855593,897.3157296,98.89474507,2.809693436,4.122683213,9168.860161
27,247.3526161,28.20375192,5777.297452,874.9772092,84.21985442,6.620937747,2.869749995,9428.922297
28,256.9983248,36.31626969,6312.208567,821.078807,43.32259296,2.005444329,2.141186146,9643.91696
29,260.4784252,37.73832208,6804.768198,732.3469946,-7.71060648,-0.137220695,-0.571201171,9818.442664
30,260.2045286,34.98102864,7261.132846,603.489625,-64.60479212,5.264204218,1.211598426,9959.212638
31,261.868116,30.56721578,7670.219051,428.7005879,-123.1962273,5.105362663,3.192438919,10074.20218
32,257.4480431,21.22384305,8051.427016,231.0444935,-173.137519,-0.048645904,3.055314942,10157.41737
33,235.3447716,11.81510707,8372.845492,57.66596937,-201.6394202,-0.79892733,1.670435756,10222.51783
34,201.6361085,21.78120959,8679.77869,-43.06666612,-225.2663935,1.513840045,2.375473377,10267.06237
35,204.2186836,7.692659892,8933.908787,-82.21720015,-227.0854544,6.507720206,1.490086503,10294.48434
36,180.1564658,-1.886801002,9167.007201,-91.91069539,-223.8837396,2.575614219,0.263249807,10307.78719
37,162.3905826,-0.897902102,9348.198413,-95.76848798,-209.8900154,1.60265873,-1.318450813,10307.40441
38,124.383554,-20.24477906,9514.674439,-101.1550002,-187.6285715,4.321751394,-1.112905503,10311.94989
39,89.7246848,-9.594801327,9656.31568,-103.461635,-165.6688229,1.047911886,1.024758016,10308.49991
40,71.2095632,-16.22998918,9778.479974,-113.0674915,-135.2447771,-2.528354608,2.859506765,10309.21888
41,56.69818466,-20.02626565,9889.169276,-119.7640328,-97.77467029,-3.383509908,-4.400260512,10301.95572
42,10.42026577,-20.75924943,9958.497299,-134.3342445,-65.60240139,4.869996594,2.324537481,10297.55294
43,-26.96629974,-35.9521454,10012.11473,-151.1302213,-22.16448338,0.373522829,-0.13810368,10283.17722
44,-90.17622754,-42.06150053,10047.01128,-179.125427,27.33221784,-0.600652124,-0.971541403,10269.53122
45,-118.6811954,-50.07712124,10072.66039,-215.5898891,71.93886982,-8.224806264,-6.837705617,10243.85384
46,-155.6092426,-55.26651298,10088.05982,-263.8847746,125.1559108,0.238447987,0.978024559,10222.95155
47,-191.8563412,-56.32826416,10082.6305,-323.6546504,186.6545732,1.105663149,-0.354905475,10212.90151
48,-247.0568318,-73.01963708,10073.13206,-392.3714872,247.4557025,-3.548609213,-0.583001441,10207.71047
49,-327.0387749,-86.46333439,10051.85556,-463.7784608,309.570438,-4.29889064,-1.139620914,10206.59471
50,-344.6056415,-96.24083618,10020.67246,-529.5380169,386.8157908,-2.74853194,-3.956882106,10175.42616
51,-428.4762103,-96.94747954,9989.043205,-589.9698176,463.3914141,-2.881520865,2.360371135,10132.04347
