Cycle,A1,B1,C1,D1,E1,H1
1,-130.5302484,-27.42010845,-23.48461299,-60.74701049,-20.03806014,-104.6974289
2,-48.68280562,1.200376743,-3.270675701,-15.06231551,1.759919344,-30.45694981
3,-26.43250268,10.31480915,0.815610898,-6.851250778,6.510528646,2.074945631
4,-11.16094632,11.92368666,2.665888945,6.865936239,6.962284682,19.1494076
5,-5.551932166,13.0991668,0.968015549,7.74143932,5.783617815,18.96455661
6,-3.13644942,12.63129772,4.068487732,-0.517815923,1.016557205,13.69259104
7,-0.667534369,14.30646591,6.721358309,3.762134951,5.359555916,10.15739775
8,-4.141349181,17.78141485,3.893344446,-0.212605866,0.737433426,4.110085055
9,-6.772494812,14.0009947,-5.402763074,1.872361266,-0.663907504,4.030107936
10,-0.177666237,16.10936453,0.102979216,-1.379044544,-4.511004735,5.094963293
11,3.9860396,17.13997239,0.113330505,5.727186122,0.186435952,8.95921941
12,-3.128829987,12.38763971,4.383512222,1.003156005,-3.080928258,-5.223610954
13,-1.579879775,11.69608124,0.399086958,-1.95928705,-7.111499629,-0.650348473
14,1.768474328,8.756399086,4.944681089,1.7029845,-3.833691719,-4.016302546
15,-1.048029779,20.69706045,6.848127751,2.697263342,-1.423964844,-7.328833914
16,-0.997818732,17.21931118,25.49749318,3.717394813,-1.681448868,-5.896188319
17,3.047843024,33.8919793,44.962192,15.47685488,-6.395340863,-2.466061262
18,-1.898332405,49.59151542,82.21179262,31.12713568,-6.784770855,-4.228410436
19,-4.911414052,84.61467258,151.4289012,56.14899464,-7.359071536,-9.537935481
20,-6.373825719,118.125207,241.2039719,92.59430132,-4.646673782,-13.11435878
21,-8.755225195,172.3649163,412.6108338,174.4002413,-5.390723803,-10.60419511
22,-4.105197253,232.4663435,623.3814133,265.3550855,-7.502280365,-12.73384673
23,2.240372952,301.187182,885.8754648,390.5962003,-7.089547166,-11.16949906
24,-2.402628106,371.9672899,1180.035009,525.7784668,-7.926343832,-22.42195174
25,-1.735368651,447.7946784,1483.334195,675.4369892,-1.243859907,-15.65293307
26,2.703935973,519.0871251,1770.912528,831.3390109,4.202819487,-22.00290507
27,7.341022092,589.9242277,2030.79076,993.8488203,-0.524175853,-24.32987201
28,31.11689061,655.6872974,2254.289193,1149.133625,7.643791608,-22.55552709
29,60.53055039,710.9567218,2432.684639,1292.46988,11.52596568,-18.02032768
30,101.5649836,754.2554792,2572.531434,1416.466006,13.92276624,-31.50757598
31,147.5153188,788.721504,2674.27676,1522.480494,32.01455179,-26.3033732
32,198.3025345,817.2022387,2747.874914,1611.591266,40.03746985,-24.26636142
33,262.0854221,835.8114265,2797.44113,1682.439609,74.82346891,-24.64681438
34,332.422847,848.6154805,2829.33618,1737.199324,115.4316139,-15.74885159
35,406.9492803,853.5195927,2850.540322,1772.267856,191.2276918,-5.64142905
36,488.1221868,860.0755789,2861.811412,1793.552776,294.7195498,-1.935464239
37,572.4151303,857.451767,2869.012419,1805.180355,456.9145421,11.5635303
38,658.3116161,856.0902077,2871.346045,1814.91162,640.136576,36.02599086
39,743.051564,849.7639682,2872.610282,1821.746415,846.7123183,53.57288021
40,825.0751987,843.7310508,2871.854438,1827.323863,1061.209782,73.44771934
