Cycle,Manuel,A2,A3,A4,A5,A6
1,-44.22117129,-138.5898612,-38.75939285,7.548254273,20.47504345,-0.416490338
2,-1.388925684,-60.13858168,-15.26233117,2.483896487,20.65316605,0.858422656
3,6.531770448,144.2435264,0.766432956,7.436472995,11.83998012,-5.305046046
4,11.1672315,227.0997404,14.73381573,-1.662586267,4.788187486,-4.344895878
5,6.679641079,280.0859238,20.07666376,0.08231305,9.685187502,-4.121057862
6,7.66061346,303.4020689,-1.789648992,1.997937279,3.619209286,1.742067866
7,7.2606652,344.9896817,-11.74619193,4.334032575,3.152764267,-0.886175709
8,-2.787191689,387.0465441,-15.56493042,4.528749698,0.675179793,-1.280605765
9,-6.854311043,440.4824658,-18.27981041,3.749847041,-6.994149233,-3.881777246
10,-12.45990574,538.8824512,-1.933985738,-4.49509988,-9.142966307,-0.910731516
11,-16.67017566,685.4344783,35.8893415,-2.72314729,-8.175848805,-2.526678758
12,-20.19806265,849.4769167,119.8502147,1.03266641,-7.788386426,5.833767029
13,-21.32139675,1013.180644,251.3017013,-0.719368241,5.337310422,1.771921985
14,-8.576502413,1204.406203,479.3405625,-0.563673955,31.9222276,3.705204148
15,12.41001507,1399.651114,802.9648871,7.516582928,77.92246947,8.96396369
16,45.84384195,1591.309501,1160.489813,0.823281558,165.9059182,4.574570709
17,75.54562226,1784.083615,1519.080063,-5.266141411,318.1780273,2.563619636
18,122.7554861,1963.527854,1896.553301,-2.955898745,589.7780692,-4.389085942
19,179.4815565,2131.780635,2294.948947,-0.237867433,1023.134599,-4.83546515
20,252.4028653,2285.681175,2722.179554,-4.211054146,1627.973866,-4.808306811
21,328.3591165,2411.999399,3172.005359,-4.99017973,2314.309072,2.040735469
22,413.6235631,2537.354768,3631.023167,-13.57657647,2988.367466,4.169619602
23,522.4275604,2638.891539,4092.447209,-7.441608008,3650.517165,7.942828523
24,626.0542029,2732.509927,4528.182518,-8.482939243,4310.905633,4.447546292
25,739.683374,2791.633427,4948.789324,-2.084566629,4959.433272,4.368713429
26,879.1154205,2826.707803,5345.112218,-4.97899483,5588.901345,7.774619898
27,1025.553529,2848.638939,5729.57726,-5.166213723,6185.412871,-1.596769887
28,1193.771855,2859.504197,6079.760202,-9.598896463,6749.338187,-0.663549499
29,1372.378927,2870.163285,6405.415015,-14.23006171,7269.832712,-2.726348144
30,1560.042279,2874.41192,6692.748539,-12.73490855,7737.517441,3.74114377
31,1762.209064,2878.811095,6966.353066,-4.654651664,8151.780096,0.100989257
32,1973.204242,2869.414046,7213.92407,-8.613915526,8520.98201,-0.069791166
33,2191.823217,2857.776135,7437.505873,-1.282677011,8853.690839,5.490806535
34,2407.01989,2835.732135,7633.961926,-5.412885884,9142.267766,-1.763737201
35,2622.860801,2829.278107,7804.673727,-9.793108598,9393.485952,-1.330151438
36,2845.567582,2811.629379,7966.408561,-8.942320031,9614.20184,-0.921442733
37,3064.4937,2791.549528,8095.183406,-3.660976122,9813.276314,3.823922612
38,3280.404815,2766.219154,8199.45321,-13.21952929,9974.485954,-3.180732117
39,3485.848706,2748.776596,8277.313009,-4.731483761,10097.14493,-3.075913754
40,3695.69112,2740.998044,8349.944723,0.391817658,10200.34712,4.562507158
41,3893.489295,2726.689319,8413.003416,-4.30497782,10294.44555,5.03609133
42,4086.156784,2706.376631,8456.311744,-1.336982321,10354.97432,-1.561851365
43,4266.521022,2683.532662,8495.947373,-0.617626074,10393.30234,-1.626681303
44,4446.100741,2665.577306,8524.503839,2.296982779,10407.35466,3.342333676
45,4614.673904,2648.201738,8554.79545,-4.080721398,10427.96404,-3.242825557
46,4774.87862,2629.724425,8572.506423,-0.587842881,10428.61357,0.109912297
47,4927.426079,2608.885579,8580.830128,4.719353657,10436.53923,0.504475223
48,5074.793907,2596.451603,8579.094396,5.55819148,10447.07877,-0.112628896
49,5215.088846,2576.618246,8581.540937,9.130091242,10460.98175,-6.105372686
50,5345.247603,2566.265487,8578.846219,8.403381629,10470.8953,0.900390484
51,5469.868695,2557.690869,8570.480507,9.806587231,10483.40289,-2.93634157
