Temperature,A1,B1,C1,D1,E1,F1
65,7375.983491,3875.403065,9643.361899,3731.633316,4065.763857,7145.482687
65.5,7370.774529,3870.056964,9602.105968,3729.461556,4056.901683,7068.302678
66,7365.565567,3864.710862,9560.850037,3727.289796,4048.039509,6991.122668
66.5,7360.356605,3859.364761,9519.594105,3725.118036,4039.177335,6913.942659
67,7355.147644,3854.018659,9478.338174,3722.946277,4030.315161,6836.762649
67.5,7349.938682,3848.672558,9437.082243,3720.774517,4021.452987,6759.582639
68,7344.72972,3843.326456,9395.826312,3718.602757,4012.590813,6682.40263
68.5,7321.467887,3835.710745,9331.695508,3715.000584,4002.063765,6595.282586
69,7280.387091,3825.948041,9246.376756,3710.501716,3990.030132,6502.793955
69.5,7224.361921,3815.510082,9144.586191,3704.953155,3977.388585,6407.573405
70,7156.102927,3804.071971,9030.466752,3698.819727,3964.262159,6311.839499
70.5,7079.98581,3792.473996,8909.340088,3692.611507,3950.409021,6216.899425
71,6998.854957,3780.461141,8784.797849,3686.495109,3936.659432,6123.006724
71.5,6914.212836,3768.764266,8659.168848,3679.993125,3922.90934,6030.477268
72,6825.533334,3756.26971,8533.164039,3673.17711,3909.307502,5940.491508
72.5,6730.53339,3743.505382,8408.248289,3666.114885,3895.841303,5851.212915
73,6624.064579,3730.555394,8283.883257,3659.264865,3883.221499,5763.380629
73.5,6506.221306,3718.104798,8160.374952,3652.012364,3870.40861,5677.080323
74,6378.270314,3705.397511,8035.941256,3644.911008,3857.735928,5592.119574
74.5,6242.87314,3693.088129,7909.34149,3638.356146,3844.679836,5507.434686
75,6107.886644,3680.866469,7778.95804,3632.258922,3831.908037,5425.216396
75.5,5984.108425,3668.759273,7644.214378,3626.032621,3818.479984,5344.594657
76,5871.997335,3655.940091,7503.626116,3619.451735,3804.931958,5265.25713
76.5,5770.490288,3643.401985,7356.88659,3612.463114,3791.372252,5187.123859
77,5677.93166,3630.709687,7205.571593,3605.089345,3778.524726,5110.372093
77.5,5588.886296,3618.006128,7051.491352,3597.372987,3765.376731,5033.307944
78,5497.067029,3604.871306,6896.66989,3589.285636,3752.555474,4956.103798
78.5,5402.02031,3590.569341,6742.964121,3581.693087,3739.999429,4879.318511
79,5303.680109,3573.38558,6590.128888,3574.301518,3727.454062,4802.889007
79.5,5200.041863,3554.227838,6422.556913,3566.861109,3714.370024,4727.21789
80,5085.249665,3533.531921,6203.795147,3559.570011,3701.215796,4651.937933
80.5,4952.368644,3511.640001,5904.450394,3552.760931,3687.869913,4569.968825
81,4797.535714,3491.033175,5529.386013,3545.803116,3674.193043,4456.154308
81.5,4623.953793,3474.213338,5089.57032,3539.082253,3660.435956,4308.357984
82,4438.747933,3460.461288,4619.609555,3532.382937,3646.669607,4128.400098
82.5,4258.600498,3449.348021,4195.39815,3525.443334,3632.979579,3920.66995
83,4101.625993,3440.733659,3878.486877,3518.067387,3619.557106,3700.917023
83.5,3979.682059,3433.435352,3664.471856,3510.942469,3606.998692,3520.653403
84,3890.736399,3426.012857,3544.211964,3503.477342,3595.164479,3385.840379
84.5,3830.588008,3418.339008,3498.510768,3496.117079,3584.380238,3294.630439
85,3789.469423,3410.311799,3487.00515,3488.767118,3574.274328,3243.329252
85.5,3757.411198,3402.365825,3476.820704,3481.873626,3564.90302,3223.356646
86,3726.998042,3394.413246,3466.988205,3474.385949,3555.576686,3208.184831
86.5,3698.20986,3386.408377,3457.462455,3466.928937,3546.546487,3194.198672
87,3670.135317,3378.868235,3448.104056,3459.091086,3537.460744,3181.040779
87.5,3643.432821,3372.207345,3439.356974,3451.567008,3528.639005,3169.210816
88,3617.704893,3366.066204,3430.739218,3443.674004,3520.011153,3158.80317
88.5,3592.854898,3359.823691,3422.486714,3435.925621,3511.85894,3149.085299
89,3567.969934,3353.987302,3414.679859,3428.391572,3503.828005,3139.730278
89.5,3543.899151,3347.969075,3407.234977,3421.626667,3496.060232,3130.929786
90,3519.997144,3341.072778,3399.491008,3414.375639,3488.572898,3122.292334
90.5,3496.029114,3332.924313,3391.676531,3407.270527,3480.712375,3113.580338
91,3472.314304,3324.552439,3383.507254,3400.934833,3472.866727,3105.297093
91.5,3449.515343,3315.451675,3375.51474,3394.545793,3465.028163,3097.540734
92,3426.948595,3306.037541,3366.622582,3387.646818,3456.962846,3090.032289
92.5,3404.464896,3296.67526,3357.519053,3381.347954,3448.771015,3083.151933
93,3382.898335,3288.001936,3348.350575,3375.150556,3441.321566,3076.374822
93.5,3361.229131,3279.360744,3338.80036,3368.150214,3433.608601,3069.738341
94,3340.224478,3270.918657,3329.646201,3360.966084,3426.78249,3062.500867
94.5,3319.284745,3262.720913,3320.576708,3353.916127,3420.166839,3055.388727
95,3299.924927,3254.307488,3313.661227,3345.937804,3415.060546,3046.754576
