Temperature,A1,B1,C1,D1,E1,F1,G1,Manuel
65,40.57561578,72.15985166,280.6737842,28.96122175,15.12268933,1.567999767,1.411481905,106.0739836
65.5,87.91383419,156.3463453,608.1265323,62.74931379,32.76582687,3.397332829,3.058210795,229.8269644
66,81.15123156,144.3197033,561.3475683,57.92244349,30.24537865,3.135999535,2.82296381,212.1479671
66.5,81.15123156,144.3197033,561.3475683,57.92244349,30.24537865,3.135999535,2.82296381,212.1479671
67,81.15123156,144.3197033,561.3475683,57.92244349,30.24537865,3.135999535,2.82296381,212.1479671
67.5,76.67480285,144.4468328,559.537933,58.25050101,30.22179249,3.209967186,2.88816602,205.3135611
68,102.5210174,143.4901374,570.738552,56.17847243,30.48177199,2.686050995,2.439118679,246.4982344
68.5,165.8926175,143.0257926,592.6476859,52.62118209,30.06964117,2.157372339,1.834727971,335.1321788
69,238.0838596,144.1556328,607.3636067,49.50365835,28.90887786,2.681185467,2.548823949,410.8730754
69.5,315.7754436,142.679889,618.5653142,45.67782351,27.50552804,2.922478636,3.068376582,474.4110713
70,395.1847019,140.7362998,630.1097477,42.9775408,26.39038188,2.065033769,2.642486374,517.6859954
70.5,471.7739617,143.2451408,640.9064252,40.62708718,25.15741544,1.94931287,2.750656525,547.3969303
71,536.550674,144.3994229,650.7647376,38.09426677,24.10476476,2.659183245,3.060479418,572.2230411
71.5,587.1282405,144.8699008,665.9043865,36.59182054,23.14015875,2.435841557,2.664001399,584.6814485
72,627.3813815,149.7138591,701.7799403,35.77480703,22.51035322,2.154070136,2.137171121,591.5070973
72.5,656.3318269,155.0510057,791.276253,34.41197545,22.29663927,2.769591523,2.568458858,605.7483112
73,682.9488691,159.2732194,1033.347544,33.67568502,21.77226228,3.330736078,2.912764954,623.981071
73.5,730.9902464,166.6660989,1559.595397,32.72044591,21.22903516,3.407893631,2.878746435,655.09025
74,864.6618585,176.7414403,2236.113488,30.36107927,20.4926806,3.663848658,3.313336556,743.9000247
74.5,1074.358298,187.8180107,2845.30425,28.4445694,20.07851763,3.463413312,3.40153773,979.164272
75,1285.687288,201.5656472,3315.081592,26.66163665,19.36804532,2.773788135,2.849587201,1459.331969
75.5,1476.67629,216.2185438,3448.693864,24.4474217,17.70890846,2.415178269,2.831269988,2168.380608
76,1615.654031,230.5906902,2980.793102,23.1891646,16.22189957,2.110628476,3.400865809,2933.107763
76.5,1572.749606,242.6766469,2166.644992,22.46397201,15.59949552,1.713193417,3.326389025,3572.069703
77,1367.89062,250.6983228,1396.544197,20.93021689,14.49189675,2.120940035,3.199887496,3891.814997
77.5,1153.515168,254.970852,711.8391565,20.01725072,12.91576681,2.54739904,3.423221105,3686.619312
78,953.8800775,257.6712458,207.9521024,19.29614747,12.39304335,2.397774461,2.971218552,2986.11022
78.5,785.6196796,258.5089414,19.16307178,18.02790034,12.16416732,2.594573659,1.980847716,2095.109199
79,720.7597168,258.8323515,19.19331627,17.55166687,11.47776353,3.005361238,1.894382192,1263.455927
79.5,751.2994387,261.2145804,19.80665145,17.28678036,10.74161929,2.971607896,2.4825766,604.5690466
80,808.1523021,264.834198,18.91261296,15.81780128,9.69955246,2.935709098,2.564229191,219.2889015
80.5,886.7096601,270.7370544,18.89767609,15.07083267,8.813383677,2.760412915,2.825878285,94.49195127
