Temperature,A1,B1,C1,D1,E1,H1
65,29.89355414,-37.27920713,7.079915864,81.13485358,28.78410198,59.04154375
65.5,64.76936729,-80.77161544,15.33981771,175.7921828,62.36555429,127.9233448
66,59.78710827,-74.55841425,14.15983173,162.2697072,57.56820396,118.0830875
66.5,59.78710827,-74.55841425,14.15983173,162.2697072,57.56820396,118.0830875
67,59.78710827,-74.55841425,14.15983173,162.2697072,57.56820396,118.0830875
67.5,56.99333351,-76.44594815,11.47472545,160.6502899,56.24353378,117.1693783
68,74.25349052,-65.76305361,27.3106946,171.1335962,64.72418724,122.9529841
68.5,107.924291,-37.93515321,63.92451214,187.9487719,78.94466621,133.2728095
69,133.6401941,-3.694744848,99.57568641,195.6533885,86.80353479,139.0865347
69.5,153.2678557,35.01576963,133.4723429,198.8637333,93.32360456,141.5920977
70,165.0786871,73.10231722,163.177115,197.8017069,100.2352461,142.5888583
70.5,171.9320909,109.2297164,187.7208968,195.9251433,107.4294417,143.8001916
71,178.324236,145.8556039,207.3787434,194.1665456,113.6907143,142.6304742
71.5,184.63625,186.8607054,221.6278306,191.1127699,117.6180969,140.7394843
72,190.2994902,245.0886766,232.8418334,187.1651529,120.1865551,141.0359669
72.5,196.4416133,329.1424785,242.0041023,183.3225977,121.5664577,141.6387754
73,202.1979228,419.923788,249.372704,179.9032726,122.0329271,142.0098064
73.5,205.9219044,495.9370482,258.7639118,176.2253721,121.8794879,142.6680762
74,207.0430249,545.7493428,271.1718265,172.5789357,121.1377153,141.7723269
74.5,206.595272,544.4190319,282.9578776,169.7777846,119.7609909,138.5124644
75,205.0932273,477.0917446,293.8360091,166.9338755,116.8551947,133.9828123
75.5,203.851175,379.3429381,306.6231821,163.2542748,114.3855627,128.1682316
76,203.8913056,286.6327118,318.6992523,161.1844292,113.2920735,122.7816042
76.5,204.0861106,207.8544701,325.7657292,161.2138084,112.7743398,118.6590259
77,202.9432185,157.6252566,327.9846339,160.7096492,112.1356865,114.3591942
77.5,200.3306662,142.2914293,325.7765885,160.1142407,111.7794409,110.844175
78,195.7085575,143.4357908,314.8775086,160.2288204,110.4149509,108.5354407
78.5,188.6699426,144.3962959,292.3156568,158.0426039,107.6492443,105.8750731
79,182.1508719,143.0828234,277.4173194,153.4172848,106.9596217,102.4019158
79.5,179.926298,137.7008628,312.4608105,154.7089507,117.9859752,99.84037465
80,187.9424959,135.8836454,412.683692,186.6268116,148.4533352,98.36072315
80.5,216.971696,167.2918133,536.5481126,251.1934583,186.8815093,99.38514921
81,256.9525998,225.0567995,654.479748,321.8453845,223.3048407,102.6001331
81.5,290.9886451,280.0308237,746.3173055,387.9947026,254.5252572,105.4105858
82,316.0222627,331.8721549,740.591589,439.3511013,260.9091329,107.1163242
82.5,320.023721,370.2274492,605.9482166,426.4848727,226.6634207,106.6558724
83,281.1501292,341.4494439,427.1833757,343.7700214,173.9377833,100.2824515
83.5,219.0681019,258.4743405,266.2878747,247.9969101,122.4481167,89.73655648
84,164.1620278,179.5578921,124.5845035,159.5907546,72.07144471,80.19700822
84.5,115.4628311,106.407708,34.49963053,80.43800556,35.13682426,71.35988372
85,78.74851431,42.99156563,12.28073969,34.84670815,19.73851617,63.47634888
85.5,64.88009016,14.51322618,15.93527556,26.8004551,15.57296659,58.53110143
86,64.49269203,14.99728013,15.50358214,27.56410422,13.29569802,56.13570354
86.5,62.68097947,15.58018517,15.40810665,25.82508578,12.51141223,54.06777449
87,60.48131611,15.30642682,15.15263887,23.77281015,11.48491982,52.4100046
87.5,58.20566582,14.65535912,14.68525475,22.71156405,11.74115032,51.90044408
88,56.69819836,14.06031424,14.80730719,21.34539224,12.23010208,51.51567538
88.5,55.64805934,13.55820418,14.70566335,19.59046228,11.67097576,50.59858053
89,54.20421178,13.3955429,14.29562629,18.56215589,12.16715579,49.85749874
89.5,53.44220581,13.82707221,14.51464799,17.70093487,13.20130744,49.34061052
90,53.2652014,14.54580549,14.70087926,16.48462083,13.12283336,47.65619648
90.5,52.33737147,15.34719505,14.59006141,15.82480736,12.64363594,45.72652766
91,50.64398262,16.0534026,14.86461802,15.22900002,12.6279255,44.2419724
91.5,49.81125256,16.49546823,15.51368728,14.75585826,12.42369478,42.05392511
92,48.79140931,16.17544438,15.57569169,14.98349731,12.25521832,40.08539127
92.5,46.68850413,15.48420518,15.14855145,15.23418628,12.12603296,38.95846613
93,45.09077769,14.29327295,14.8964897,14.61576511,12.07047775,38.25661346
93.5,43.13668156,13.95204487,14.2262803,13.99362629,12.05654955,37.87986026
94,41.48065984,13.46685602,13.51280436,14.01748283,11.85287299,38.04787768
94.5,41.40780606,15.7456986,13.49558634,14.27934207,12.51977161,41.43699107
95,17.67513146,8.125645182,5.879422909,6.303541905,5.730912139,19.20584691
