Temperature,Manuel,A2,A3,A4,A5,A6
65,49.11683474,20.87930927,180.6928119,7.047005344,233.5896669,0.962306925
65.5,106.4198086,45.23850342,391.5010925,15.26851158,506.110945,2.084998338
66,98.23366948,41.75861854,361.3856239,14.09401069,467.1793338,1.92461385
66.5,98.23366948,41.75861854,361.3856239,14.09401069,467.1793338,1.92461385
67,98.23366948,41.75861854,361.3856239,14.09401069,467.1793338,1.92461385
67.5,95.48162263,38.29425279,354.7105519,13.39137682,462.2025957,1.906744573
68,111.789339,58.01174257,396.0545305,17.80456389,494.6937408,1.996160181
68.5,148.5621107,108.0121511,477.1348588,25.96660058,544.3755908,2.397741022
69,185.5277232,171.7454785,529.2493837,30.68879695,565.2055684,2.380268939
69.5,224.5684037,247.1698837,560.55078,33.3084135,584.6309215,2.562809534
70,264.8653738,327.4900836,579.3855399,34.57381655,600.5823202,3.133004667
70.5,304.6040859,404.3595982,590.0316852,35.71162781,606.115155,3.75765764
71,340.5808972,466.5324611,595.469853,36.58438076,608.5302282,3.757583541
71.5,371.3436791,513.8731914,602.8074857,36.73005192,613.3348846,4.101363846
72,397.3809385,549.5883223,614.3282334,37.07617829,616.1555492,4.63398444
72.5,419.8211777,575.6309434,630.9533427,37.92650988,622.0792757,4.774362672
73,440.536401,606.23275,672.4306853,38.31305144,648.2815912,4.881887558
73.5,467.5369824,668.729641,776.6316336,37.87345675,728.0175649,4.433072214
74,529.7669401,837.120247,1073.91021,37.89375396,930.5178182,3.485291338
74.5,744.8683714,1121.99692,1658.212924,37.69891173,1391.587178,3.012342827
75,1167.511791,1430.915395,2350.79561,37.12066028,2081.098335,2.775722022
75.5,1651.056463,1706.331415,2961.40741,36.50375837,2778.016529,1.995794482
76,2086.094953,1910.441444,3422.555537,36.08196329,3342.77732,2.17858305
76.5,2427.343297,1891.224167,3471.713371,35.25884523,3633.025391,2.889065546
77,2440.040335,1624.728731,2914.711335,33.83102204,3372.991137,2.95683637
77.5,2012.060791,1300.184267,2094.150221,31.66772502,2618.403131,2.706028086
78,1432.77977,1002.323871,1336.178581,30.02640496,1769.419025,2.660934861
78.5,899.5655344,744.8112526,666.1237128,28.79902197,1007.632648,2.156235616
79,421.7989888,608.2091222,212.9026409,27.21951399,395.9796386,1.580555194
79.5,116.8475872,608.4077615,75.0061409,27.16817868,73.15384171,1.546118937
80,41.33548239,654.2806353,84.49240294,28.35155312,11.75765403,1.941957072
80.5,51.95376544,712.2908477,88.37576364,28.92251955,18.89590581,2.405922033
81,54.33377919,778.7924936,90.3867693,29.5794469,19.62291535,3.263432583
81.5,56.19597453,839.8124806,91.64759548,31.13836748,19.43688537,4.083719979
82,56.97978052,884.0902057,91.74452068,31.29759915,18.99755291,4.247195
82.5,57.42662112,895.690276,89.67716905,30.62125487,18.72592657,4.176446065
83,56.24550822,864.9157424,84.86081502,30.30112228,18.45751973,4.010327704
83.5,53.02383003,807.5778321,79.45551509,29.52555188,17.49150267,3.623930184
84,49.56992516,740.6178803,74.08736872,27.34314394,17.02385652,3.141798483
84.5,46.98851742,669.5590698,69.17686289,26.00456893,16.8128479,3.218222094
85,43.98839916,610.1548849,64.93852806,25.34949913,16.53884385,2.853011352
85.5,41.60948831,566.9414848,61.2503653,24.09111431,16.33767848,2.695463576
86,40.30425243,522.8391488,57.41871433,23.17105841,16.27585626,2.68578893
86.5,38.68544339,471.5296984,53.26033904,23.18227904,15.94306253,2.137769823
87,35.87916117,419.5232183,48.70418734,22.33534911,15.46654089,0.760736896
87.5,33.40718212,366.321595,44.76589904,21.18197762,15.35515917,0.588665475
88,31.6466646,316.6429812,42.59971981,20.46631524,15.56772952,0.673045007
88.5,29.69683546,279.6200828,40.64021307,19.41061668,15.8176791,0.403091845
89,28.33836633,254.9127593,38.68208912,19.25160947,15.84572154,1.048306235
89.5,28.3207841,238.934643,38.10680682,19.61923006,16.12806279,2.606912886
90,28.43982166,227.7244735,37.51583975,19.49195391,16.07742114,3.309759702
90.5,27.91942459,218.7063939,35.60054642,19.62676492,15.08178914,3.54120095
91,28.03043498,210.3235976,35.04005597,20.26721609,13.97907467,3.858057555
91.5,27.82483041,201.9308363,35.29593289,20.09484844,13.45117745,3.456560493
92,26.92463077,193.31522,33.97557025,19.93658714,13.19038472,2.987010263
92.5,26.15435947,185.3638124,33.4308374,19.92154082,12.66374149,2.825737977
93,25.51349409,177.354827,33.46230116,19.94807487,12.6025191,2.899467649
93.5,23.76643062,169.7010346,33.22676108,18.38832923,12.56520686,3.358936577
94,23.08720807,165.74544,33.25466138,17.56289752,12.19065408,4.257285441
94.5,22.94133737,174.3214116,37.65868668,15.56158523,12.20101057,5.78276388
95,9.53238133,78.67810552,18.18012058,5.401783041,5.182343787,3.301973721
