Temperature,A1,B1,C1,D1,E1
65,1.3042254,1.1231563,1.186637,0.98408985,0.8212298
65.5,1.2975903,1.0888172,1.1929659,0.97963935,0.7990545
66,1.2972412,1.1120075,1.1730547,0.9684248,0.8103253
66.5,1.3097146,1.1086882,1.1920276,0.9750301,0.7759659
67,1.2986292,1.1183182,1.186039,0.9561438,0.7859074
67.5,1.2637218,1.0923629,1.1517817,0.95520914,0.75378513
68,1.27464,1.0769535,1.1573904,0.9481032,0.75540936
68.5,1.2777334,1.0761802,1.1565138,0.92571723,0.7386442
69,1.2567732,1.0619056,1.1274879,0.9165002,0.74383926
69.5,1.2232423,1.0531067,1.1307125,0.8952998,0.715327
70,1.2119371,1.0499206,1.100466,0.88402075,0.7084966
70.5,1.2058293,1.026893,1.0932477,0.880306,0.69136286
71,1.1687155,1.0078685,1.0949032,0.8659364,0.6831845
71.5,1.1836367,0.9987573,1.0659577,0.85990876,0.6579101
72,1.1409754,0.9698645,1.0409467,0.8447774,0.6434595
72.5,1.1191721,0.96969926,1.0384611,0.8191465,0.63238364
73,1.0732273,0.929552,1.0207218,0.79605365,0.6160123
73.5,1.0597914,0.93506515,0.9865624,0.7770518,0.6045343
74,1.0263764,0.88050807,0.9594541,0.75611573,0.57499576
74.5,1.0015118,0.8798794,0.94281906,0.7393584,0.56266224
75,0.9669083,0.84038234,0.9218546,0.7331364,0.5215479
75.5,0.9324469,0.82029486,0.876283,0.6668054,0.4772756
76,0.90071905,0.8040757,0.84209317,0.64564747,0.4512696
76.5,0.90124774,0.75756615,0.79917943,0.58900565,0.42088065
77,0.87043804,0.7473184,0.7938931,0.5724174,0.4081023
77.5,0.832571,0.7403254,0.76685023,0.570641,0.405977
78,0.8236309,0.69598335,0.7508507,0.5618995,0.39138854
78.5,0.79191464,0.6841703,0.72816074,0.5236229,0.37110445
79,0.77658653,0.65105164,0.69286215,0.52395284,0.36265862
79.5,0.73799616,0.66006744,0.67037743,0.49503025,0.34904945
80,0.7096596,0.6082293,0.6580129,0.5000684,0.32501152
80.5,0.683762,0.60175645,0.64238703,0.47132507,0.319874
81,0.6835227,0.592067,0.6177358,0.44134933,0.3131805
81.5,0.6321652,0.55124843,0.6012438,0.43191275,0.28497294
82,0.61557585,0.539349,0.561705,0.41301417,0.28271565
82.5,0.59400064,0.5329216,0.557719,0.41081312,0.2675136
83,0.5867606,0.491867,0.5365821,0.38100323,0.27251503
83.5,0.56081235,0.51115125,0.5218869,0.38218796,0.25892943
84,0.53818375,0.46477446,0.49994054,0.35450158,0.24269257
84.5,0.4984198,0.43976134,0.47619185,0.33733565,0.22883725
85,0.44512522,0.40519634,0.43379408,0.2817196,0.197124
85.5,0.26609588,0.26451218,0.32045567,0.24233466,0.17189804
86,0.076717556,0.05759876,0.08567078,0.07963486,0.067495316
86.5,0.05915279,0.06352321,0.09246618,0.082383886,0.06510747
87,0.045294203,0.053812277,0.09173424,0.064158395,0.055472497
87.5,0.08188773,0.08440373,0.08199903,0.09691997,0.055068973
88,0.036813576,0.08718144,0.0728318,0.06441954,0.044225473
88.5,0.04079219,0.06934441,0.06984029,0.07264237,0.04352258
89,0.047993835,0.084409215,0.06314423,0.088171326,0.055056985
89.5,0.0393767,0.050569035,0.06835113,0.07822638,0.043188527
90,0.060610443,0.052464113,0.08638598,0.06544098,0.03835597
90.5,0.04715185,0.047653474,0.0680255,0.07782714,0.05336487
91,0.06586322,0.06476364,0.06707819,0.07044226,0.043581694
91.5,0.041615196,0.0650193,0.06486978,0.088151924,0.034803852
92,0.046016548,0.06402124,0.07560298,0.07678355,0.032814503
92.5,0.036813576,0.08718144,0.0728318,0.06441954,0.044225473
93,0.04079219,0.06934441,0.06984029,0.07264237,0.04352258
93.5,0.047993835,0.084409215,0.06314423,0.088171326,0.055056985
94,0.0393767,0.050569035,0.06835113,0.07822638,0.043188527
94.5,0.060610443,0.052464113,0.08638598,0.06544098,0.03835597
95,0.04715185,0.047653474,0.0680255,0.07782714,0.05336487
95.5,0.06586322,0.06476364,0.06707819,0.07044226,0.043581694
96,0.041615196,0.0650193,0.06486978,0.088151924,0.034803852
