Temperature,A1,B1,C1,D1,E1
65,1.9599143,1.9817206,2.1092494,2.1142173,0.086909175
65.5,1.9416615,1.9890553,2.0622623,2.0786846,0.08339536
66,1.8904747,1.9349171,2.0315657,2.071362,0.09324405
66.5,1.8557394,1.8907771,1.9757589,2.0171287,0.067626216
67,1.823153,1.8862886,1.9434444,1.9785038,0.07379662
67.5,1.768587,1.8291596,1.8982825,1.9323418,0.076630294
68,1.7353077,1.779455,1.8629559,1.8714797,0.06855214
68.5,1.6966007,1.7627124,1.7934959,1.843599,0.0689293
69,1.6535931,1.713746,1.7943218,1.801082,0.06648921
69.5,1.5979401,1.6409743,1.748911,1.7589029,0.07442823
70,1.5688186,1.6270256,1.6840465,1.7156816,0.06959379
70.5,1.520678,1.5984006,1.6476086,1.693752,0.06981125
71,1.5055434,1.5452015,1.6037753,1.6752352,0.0696509
71.5,1.4588743,1.5019381,1.5746977,1.624959,0.06671238
72,1.4273695,1.4835738,1.5286484,1.5657191,0.076945476
72.5,1.3805269,1.4535912,1.489637,1.5179027,0.07068383
73,1.3577851,1.4035882,1.4543558,1.4850008,0.07326801
73.5,1.3122565,1.3710668,1.4150863,1.4358675,0.07013387
74,1.281519,1.3353099,1.373243,1.3981774,0.07751608
74.5,1.2527606,1.2962568,1.3386902,1.3712398,0.056706738
75,1.1917027,1.2692763,1.2904062,1.3383143,0.07426139
75.5,1.1770753,1.2318747,1.2859801,1.2969092,0.06299234
76,1.140886,1.1953775,1.2317262,1.2691503,0.068066046
76.5,1.1010208,1.1604762,1.1827639,1.2214025,0.060245745
77,1.0800434,1.1369629,1.1646442,1.1848818,0.067811646
77.5,1.0475562,1.1049975,1.1322148,1.1658564,0.06792766
78,1.024462,1.0705391,1.0908933,1.1342762,0.06784123
78.5,0.97937495,1.0336571,1.0464702,1.0984244,0.06248471
79,0.9296242,0.9963106,1.0297904,1.0447166,0.06572264
79.5,0.8871979,0.9536811,0.9660629,1.0008104,0.06436008
80,0.8039573,0.89637214,0.89044875,0.9480749,0.07229371
80.5,0.7334652,0.79434603,0.7996432,0.8852419,0.06550592
81,0.58485484,0.6653679,0.6646228,0.79034305,0.06494854
81.5,0.34847772,0.43867502,0.4301963,0.63313437,0.058184527
82,0.102816,0.17339826,0.09944984,0.26385185,0.057416383
82.5,0.068091586,0.15562987,0.065777995,0.12568206,0.061660744
83,0.06620151,0.14808102,0.0742538,0.11033887,0.06796121
83.5,0.058393545,0.1512575,0.057670146,0.1111492,0.06175677
84,0.063392505,0.1448747,0.06044384,0.10261554,0.06917807
84.5,0.06858709,0.14141734,0.063086145,0.100547716,0.06024042
85,0.058452018,0.13632868,0.06821634,0.12267121,0.056999758
85.5,0.06003726,0.14507519,0.062452525,0.106183074,0.06169379
86,0.05907615,0.13776056,0.06725356,0.10404797,0.06278355
86.5,0.050992467,0.13621072,0.06197858,0.10583051,0.05319569
87,0.059264686,0.14745305,0.061856955,0.10852818,0.07390389
87.5,0.050917212,0.15061687,0.064537056,0.12259605,0.060972158
88,0.05483197,0.15235743,0.055368774,0.11274529,0.058145724
88.5,0.048545226,0.13739915,0.05248444,0.110098094,0.06790365
89,0.060852345,0.14581986,0.058897752,0.11495476,0.06388615
89.5,0.06081519,0.14238264,0.048074283,0.110744886,0.06347746
90,0.049802784,0.123886555,0.054847434,0.11520148,0.05686092
90.5,0.05777313,0.13768728,0.050398238,0.10385056,0.06707248
91,0.059879225,0.12400755,0.05678585,0.094608516,0.05220089
91.5,0.07305728,0.13508253,0.062659964,0.10816262,0.057590205
92,0.051986396,0.15918693,0.056694128,0.105219506,0.058340866
