Temperature,A1,B1,C1,D1,E1,F1,G1,H1
65,24290.38021,10614.6168,19762.27954,4896.048669,5087.066464,2669.010106,2667.386408,21485.82117
65.5,24249.8046,10542.45695,19481.60576,4867.087447,5071.943775,2667.442106,2665.974926,21379.74719
66,24209.22898,10470.2971,19200.93197,4838.126226,5056.821086,2665.874106,2664.563444,21273.6732
66.5,24168.65337,10398.13724,18920.25819,4809.165004,5041.698396,2664.306107,2663.151962,21167.59922
67,24128.07775,10325.97739,18639.5844,4780.203782,5026.575707,2662.738107,2661.74048,21061.52524
67.5,24087.50214,10253.81754,18358.91062,4751.24256,5011.453018,2661.170107,2660.328998,20955.45125
68,24046.92652,10181.65769,18078.23684,4722.281339,4996.330328,2659.602107,2658.917516,20849.37727
68.5,23979.49233,10110.26061,17786.70524,4695.288462,4981.066122,2658.477913,2657.897248,20702.29685
69,23879.12543,10038.46281,17486.37268,4669.641829,4966.371174,2657.316864,2656.921188,20515.27942
69.5,23740.44909,9966.413238,17179.88346,4645.853578,4952.197631,2655.832393,2655.366737,20293.46153
70,23563.08374,9895.812471,16867.84425,4623.824218,4938.835665,2654.525056,2653.966379,20043.93313
70.5,23345.81148,9825.137262,16549.86972,4602.814516,4925.815217,2653.678324,2652.669038,19777.99301
71,23093.13277,9752.672798,16226.92124,4583.194576,4913.654154,2652.474516,2651.194513,19497.64723
71.5,22811.48511,9680.766694,15897.93796,4564.57896,4901.690037,2651.12395,2649.69575,19207.55586
72,22507.77683,9607.244465,15556.97854,4546.505371,4890.462811,2650.045166,2648.542949,18913.77424
72.5,22185.73342,9530.930009,15185.75442,4528.851802,4879.125423,2648.858573,2647.440532,18615.09776
73,21851.40755,9452.262472,14740.13256,4512.026158,4868.199369,2647.275919,2645.975796,18307.02497
73.5,21498.52184,9371.216777,14110.82766,4495.217108,4857.362335,2645.587522,2644.569283,17988.05157
74,21107.7774,9285.177926,13157.64979,4479.481927,4846.991676,2643.861173,2643.049547,17641.29115
74.5,20622.63366,9194.250234,11883.46461,4464.820626,4836.838095,2641.987972,2641.303013,17219.76869
75,20032.27326,9096.97877,10337.90905,4451.020778,4826.961531,2640.462609,2639.725651,16624.16211
75.5,19340.63855,8992.531596,8624.727216,4438.195338,4817.592278,2639.179486,2638.387347,15726.00493
76,18565.94026,8880.822701,6978.240206,4426.449442,4809.233416,2638.036018,2636.821744,14447.17289
76.5,17752.02735,8762.312949,5698.277063,4414.934463,4801.266626,2637.066316,2635.059375,12814.13856
77,17017.30779,8638.773741,4811.066434,4404.06877,4793.687709,2636.221014,2633.507069,10927.87774
77.5,16388.07646,8512.199797,4287.206985,4393.933794,4786.823597,2634.93861,2631.828283,9004.061967
78,15861.6769,8384.10742,4068.944772,4384.025386,4780.640569,2633.740017,2630.172337,7317.450086
78.5,15428.07126,8254.807488,4032.33871,4374.690901,4774.384103,2632.502733,2628.920845,6050.433183
79,15060.54667,8125.662745,4019.832843,4365.90251,4768.530017,2631.120643,2628.074877,5215.508794
79.5,14692.75265,7995.696048,4009.289986,4357.118188,4762.924184,2629.551065,2626.933685,4759.186822
80,14303.68627,7864.210004,3999.71488,4348.753688,4757.827794,2628.158839,2625.641348,4568.214759
80.5,13880.98476,7730.473044,3990.23491,4341.221006,4753.216034,2626.637947,2624.348072,4499.495189
81,13415.31738,7592.883906,3980.867909,4333.631857,4749.062135,2625.429952,2622.775347,4453.709136
81.5,12906.05942,7449.509585,3971.900279,4326.568537,4745.679218,2624.282446,2620.960946,4410.093541
82,12359.30446,7297.743562,3962.578194,4320.263833,4743.217474,2623.197561,2619.626012,4366.852708
82.5,11789.69071,7137.154735,3953.23174,4314.225698,4741.871831,2622.361267,2618.509733,4324.005485
83,11223.78207,6968.795797,3944.170414,4308.1314,4741.521801,2621.497176,2617.1838,4280.966844
83.5,10683.17335,6795.636645,3935.293799,4302.73403,4742.785895,2620.110621,2615.764279,4238.404765
84,10176.70421,6621.850018,3926.600276,4297.782256,4745.115788,2618.72773,2614.471372,4197.272064
84.5,9711.530647,6453.639319,3918.305349,4292.771471,4748.597671,2617.47773,2612.792041,4157.822522
85,9285.112159,6293.085267,3909.860733,4288.261833,4752.578083,2615.871895,2611.084288,4119.637767
85.5,8886.918348,6140.441568,3901.543455,4284.020518,4757.026483,2614.500838,2609.772697,4084.145642
86,8513.884482,5996.229291,3893.242558,4280.255035,4761.556495,2613.712934,2608.748952,4051.019571
86.5,8173.871479,5858.253406,3885.065717,4276.712977,4766.526442,2613.099811,2607.979804,4019.540441
87,7867.924296,5724.813461,3877.072779,4273.73753,4771.197308,2612.459631,2607.225225,3990.449669
87.5,7597.584723,5596.601689,3869.266854,4270.818324,4775.35994,2611.874284,2606.413563,3964.128596
88,7363.027327,5474.806926,3861.59629,4268.832168,4778.601773,2611.041555,2605.404439,3939.369887
88.5,7157.966854,5359.425142,3854.357422,4266.58986,4780.620159,2609.871134,2604.357621,3915.988003
89,6972.113895,5250.881274,3847.170778,4264.377821,4781.052995,2608.586322,2603.072932,3893.792682
89.5,6799.246229,5148.670538,3839.82674,4262.284173,4780.254518,2607.2522,2601.777793,3872.151045
90,6635.030125,5051.875136,3832.66996,4260.600933,4778.926666,2606.391547,2600.734909,3851.478524
90.5,6476.733462,4959.162825,3825.224384,4258.324073,4777.476038,2605.611857,2599.671604,3831.458906
91,6324.60376,4869.731434,3817.487734,4256.799586,4776.838183,2604.945557,2598.778966,3812.386263
91.5,6178.556542,4783.140052,3809.331888,4255.779324,4776.98723,2604.165087,2597.61095,3794.207898
92,6038.121919,4699.274496,3801.323585,4255.170673,4778.773573,2603.386056,2597.018582,3777.143343
92.5,5903.027441,4618.13926,3793.003621,4254.499715,4781.93014,2602.007374,2596.126027,3759.99789
93,5774.128395,4539.932177,3784.953413,4254.493879,4787.206337,2600.518125,2595.268394,3743.61875
93.5,5649.741563,4464.2734,3776.738178,4254.625232,4793.90251,2598.9609,2594.114629,3727.697393
94,5530.78166,4391.525381,3769.61133,4254.946144,4802.989039,2597.451963,2593.07076,3711.799871
94.5,5413.718824,4319.953025,3762.217613,4255.336054,4812.693682,2595.855988,2591.616656,3696.132724
95,5303.598828,4251.377842,3756.867811,4256.262954,4825.267168,2594.580011,2589.852538,3679.878932
