Temperature,A1,A2,A3,A4,A5,A6
65,14443.7674,21615.35121,20409.63357,4465.50221,20497.89231,2706.919946
65.5,14394.65057,21594.47191,20228.94076,4458.455205,20264.30265,2705.957639
66,14345.53373,21573.5926,20048.24795,4451.408199,20030.71298,2704.995332
66.5,14296.4169,21552.71329,19867.55514,4444.361194,19797.12331,2704.033026
67,14247.30007,21531.83398,19686.86232,4437.314189,19563.53365,2703.070719
67.5,14198.18323,21510.95467,19506.16951,4430.267183,19329.94398,2702.108412
68,14149.0664,21490.07536,19325.4767,4423.220178,19096.35431,2701.146105
68.5,14083.43728,21448.40986,19104.73346,4411.95737,18832.90422,2700.076582
69,14000.06849,21379.54593,18851.70106,4397.663061,18555.37799,2698.793044
69.5,13897.57269,21274.79213,18578.77354,4381.609848,18268.38696,2697.670368
70,13775.31598,21131.60646,18293.29368,4364.572785,17971.44963,2696.178008
70.5,13632.82756,20947.91339,18000.77906,4347.085644,17669.2629,2694.533151
71,13471.29973,20729.45651,17704.05842,4328.912332,17365.87944,2692.493337
71.5,13293.0672,20483.75015,17405.08164,4310.595994,17060.5163,2690.738949
72,13100.7185,20217.4953,17100.53347,4292.161869,16752.65825,2688.369891
72.5,12896.23982,19935.46285,16789.42432,4273.462245,16443.50274,2686.153765
73,12680.96627,19640.68803,16464.76924,4254.29941,16126.70425,2683.615768
73.5,12453.97645,19323.07766,16104.68791,4235.255384,15785.35993,2681.352142
74,12205.82997,18955.81025,15657.22634,4216.385289,15377.20528,2679.24823
74.5,11900.37127,18468.81845,14988.87088,4197.390022,14815.6164,2677.811898
75,11430.72652,17829.33584,13981.69426,4178.739034,13951.86295,2676.205568
75.5,10722.3591,17043.26388,12649.70886,4160.278813,12732.14435,2675.084898
76,9786.803293,16136.86608,11048.70378,4142.219581,11196.0189,2674.086562
76.5,8655.324234,15167.04887,9293.391484,4124.256945,9436.963142,2672.834623
77,7411.017338,14282.26442,7666.488507,4107.055869,7647.077196,2671.274863
77.5,6280.131233,13553.79563,6422.266883,4090.522191,6138.763067,2669.9257
78,5425.501293,12979.21253,5567.974986,4075.327679,5048.365116,2668.556197
78.5,4843.560626,12543.73935,5070.18464,4060.437776,4357.685288,2667.321457
79,4515.131105,12215.75745,4866.902045,4046.538984,4014.969117,2666.406534
79.5,4394.562937,11915.0225,4810.425632,4033.00676,3917.390964,2665.66581
80,4364.313712,11598.73241,4767.318774,4019.196631,3901.888359,2664.794352
80.5,4338.107001,11257.98555,4723.555317,4004.708025,3891.962277,2663.700715
81,4311.496508,10885.14568,4678.893941,3990.258426,3882.085548,2662.337516
81.5,4283.747902,10480.07374,4633.281547,3975.036239,3872.343904,2660.446652
82,4255.443599,10048.19287,4587.449233,3959.299026,3862.678865,2658.342444
82.5,4226.859572,9601.238019,4541.883225,3943.863026,3853.330126,2656.242466
83,4198.268551,9159.001171,4498.174488,3928.658316,3843.960636,2654.187193
83.5,4170.907247,8740.681768,4457.146601,3913.638089,3834.953639,2652.263317
84,4145.298043,8353.237317,4418.72113,3899.306261,3826.412091,2650.57122
84.5,4121.23849,8000.594185,4382.989456,3886.199895,3817.89078,2649.058265
85,4098.338053,7682.007786,4349.44154,3873.211629,3809.600904,2647.397568
85.5,4077.158427,7388.199933,4317.971059,3860.908453,3801.341227,2646.183431
86,4056.587929,7115.01261,4288.205122,3849.071716,3793.248727,2644.690613
86.5,4036.894431,6866.28169,4260.600298,3837.627274,3785.099432,2643.575407
87,4018.051601,6643.696738,4234.987739,3825.988553,3777.321688,2642.648112
87.5,4000.980459,6446.851148,4211.794029,3815.336824,3769.583296,2642.670045
88,3984.551121,6276.70758,4189.980094,3804.760208,3761.918883,2642.012137
88.5,3969.333685,6128.297994,4169.134539,3794.892382,3754.007944,2642.019599
89,3954.757393,5995.129398,4149.310134,3785.230912,3746.125248,2641.482815
89.5,3940.811652,5871.94619,4130.275621,3775.56615,3738.140293,2640.854017
90,3926.405055,5755.369704,4111.201284,3765.66001,3730.052002,2638.97732
90.5,3912.439679,5643.828297,4092.904585,3756.040546,3722.190351,2637.617116
91,3898.420546,5536.53309,4075.436887,3745.977798,3714.990239,2635.446163
91.5,3884.452132,5433.491647,4057.763723,3735.869047,3708.136924,2633.851967
92,3870.687284,5334.618092,4040.31472,3725.891317,3701.499033,2632.004477
92.5,3857.522566,5240.093326,4023.702843,3715.917791,3694.967768,2630.82299
93,3844.531803,5149.237842,4006.803273,3705.987275,3688.779302,2629.136409
93.5,3832.134439,5062.63252,3990.257172,3696.165954,3682.361522,2627.861854
94,3820.663237,4979.060604,3973.523157,3687.565067,3676.264176,2625.712195
94.5,3809.172619,4896.881635,3956.82248,3678.870105,3670.238008,2623.582895
95,3799.36049,4817.703407,3938.853709,3672.997868,3664.935118,2620.448446
