Cycle,A1,B1,C1,D1,E1
1,2.13E-05,-5.31E-03,2.79E-05,5.19E-04,4.68E-04
2,-3.05E-05,-2.86E-03,1.79E-03,3.01E-04,4.62E-04
3,-8.23E-05,-1.36E-03,-3.35E-04,8.42E-04,2.66E-05
4,-5.36E-05,-1.01E-03,1.66E-03,5.22E-04,-9.43E-04
5,-5.65E-05,-7.87E-04,1.99E-04,5.86E-04,8.77E-05
6,1.11E-04,-2.33E-04,2.31E-03,4.51E-04,7.60E-04
7,9.60E-05,6.74E-05,-5.11E-04,-1.12E-03,-6.18E-04
8,6.98E-05,6.02E-04,-5.95E-04,-9.44E-04,1.08E-03
9,2.02E-04,1.43E-03,1.66E-04,3.42E-04,-1.05E-04
10,-1.00E-05,1.01E-03,-1.36E-03,-2.54E-04,1.02E-03
11,-4.83E-05,1.26E-03,8.40E-05,-1.35E-04,1.37E-04
12,4.73E-05,8.42E-04,-1.30E-03,-1.04E-03,6.22E-04
13,1.69E-04,9.74E-04,-3.20E-04,-3.18E-04,-1.11E-03
14,-1.59E-05,4.56E-04,-2.67E-04,1.22E-03,-8.18E-04
15,-1.11E-04,4.53E-04,-2.61E-03,-1.09E-03,-4.68E-04
16,-1.07E-05,8.28E-04,-1.91E-03,6.42E-04,-1.29E-04
17,1.32E-05,1.26E-03,-1.21E-03,5.99E-04,7.86E-04
18,3.94E-05,4.31E-04,-9.69E-04,-1.55E-03,-1.19E-03
19,-1.06E-04,2.27E-04,-1.45E-03,-8.74E-04,-1.13E-03
20,-1.04E-04,1.33E-04,-1.97E-03,-6.32E-04,-1.34E-03
21,-1.19E-04,1.04E-03,4.64E-04,2.45E-04,-4.17E-04
22,-1.53E-05,2.80E-04,3.20E-03,-8.10E-04,1.58E-03
23,7.04E-05,-8.60E-05,4.94E-03,1.62E-03,4.97E-04
24,1.20E-04,-2.38E-04,0.0144,1.39E-03,1.21E-03
25,-8.99E-05,-4.84E-04,0.0263,6.34E-03,4.25E-03
26,1.14E-05,-1.33E-03,0.0491,0.0101,8.94E-03
27,-1.04E-04,-8.24E-04,0.0763,0.0202,0.0202
28,-1.01E-04,-9.22E-04,0.1053,0.0365,0.0353
29,-2.22E-04,-9.38E-04,0.1336,0.0624,0.0594
30,-6.75E-05,-1.87E-04,0.1621,0.0895,0.0823
31,-8.90E-05,-3.71E-05,0.1908,0.1144,0.1068
32,-1.88E-04,1.80E-03,0.2197,0.1414,0.1281
33,-2.73E-05,3.45E-03,0.2434,0.1703,0.1515
34,3.58E-04,6.15E-03,0.2678,0.1966,0.1726
35,3.45E-04,9.13E-03,0.2927,0.2231,0.1923
