Cycle,A1,A2,A3,A4,A8
1,-13.65726574,-42.03672579,-74.10329784,-282.0160258,-77.4107469
2,-3.744384278,-26.24488253,-41.38540524,-262.1386638,20.51953848
3,7.576002128,-0.042721967,-5.234478558,-101.9698133,14.71297768
4,6.383228107,0.909224217,7.188124378,-136.7480805,-0.216146808
5,8.384229391,5.014947298,5.574212892,-10.93932564,2.25915784
6,8.400187743,9.516264388,9.427888638,21.64826206,-0.103637606
7,5.641890334,4.499957697,5.683589509,86.26875217,1.318356096
8,7.156766157,6.227634854,5.989571278,59.07548616,-6.458493905
9,7.974423114,4.287302819,-2.001388467,59.0129416,-10.37311683
10,9.38278656,1.926255273,3.469066481,45.90969492,-0.419755967
11,15.64262121,-1.368259993,6.981522004,28.98263854,-3.662577587
12,32.02378177,4.76348,0.095625258,25.68555713,23.16907458
13,57.65872031,3.782332402,3.515659728,18.39253723,37.40830119
14,98.25160001,11.74009727,18.71376194,5.86899383,77.00261605
15,165.922914,22.74676516,28.03453713,6.422734744,139.2321274
16,276.9437219,48.20090672,45.82180456,2.363732447,235.5978409
17,441.7536081,78.37217758,76.92366394,2.129455948,366.4946189
18,674.6905385,130.4559908,127.0730578,3.393656386,569.1343947
19,1013.283426,195.8165926,200.158124,-4.516412124,808.3810059
20,1405.308873,300.9387823,299.4948281,-9.57488683,1108.167234
21,1869.826341,460.7807615,469.4421212,0.588246553,1426.921249
22,2375.884791,679.0769663,674.9329073,-0.013595181,1763.012524
23,2903.802609,990.2049358,981.487609,5.614106308,2097.334137
24,3413.09488,1356.044633,1336.80892,13.45095573,2425.363881
25,3884.798215,1790.993751,1752.112861,25.94105076,2735.915604
26,4285.832033,2266.042318,2201.77208,40.36254307,3016.909702
27,4610.456533,2758.166094,2670.85439,53.52285342,3262.408747
28,4857.388346,3241.149855,3133.986812,92.14433843,3472.067872
29,5044.840734,3691.583234,3561.497746,110.3654248,3645.986505
30,5184.583163,4097.132245,3937.788629,162.6307652,3804.955661
31,5286.263042,4441.664335,4259.64363,214.159063,3952.650957
32,5356.423046,4724.325535,4531.62418,283.1834929,4096.499545
33,5404.631233,4946.460383,4746.237434,372.042743,4225.621759
34,5439.658303,5117.243943,4911.562724,468.1056089,4322.78917
35,5465.855008,5248.208112,5036.665719,590.7734838,4396.2749
36,5481.622681,5349.206804,5129.363003,738.9455798,4436.824563
37,5483.297109,5418.177014,5189.313141,894.162992,4476.046776
38,5485.567286,5467.776617,5230.444845,1066.516317,4503.447674
39,5492.037004,5503.312074,5265.263001,1249.679336,4534.314737
40,5499.408946,5531.420342,5287.620016,1445.491665,4553.838042
41,5499.368321,5551.966142,5300.403255,1640.984231,4570.48636
42,5497.409544,5560.164624,5309.922059,1836.02939,4578.450814
43,5501.934086,5574.269535,5311.716292,2030.272777,4578.808742
44,5503.728185,5582.634682,5323.684279,2221.668595,4580.959425
45,5500.943604,5594.338558,5325.009763,2406.851653,4582.579398
46,5495.258832,5601.222958,5330.287459,2578.622849,4582.035536
47,5487.745984,5606.315065,5328.879068,2741.117867,4577.144549
48,5484.105503,5606.565738,5323.684811,2890.792582,4574.479326
49,5481.364172,5604.007742,5326.013507,3032.856707,4574.087997
50,5482.691949,5601.094964,5321.949612,3158.884558,4567.304565
51,5482.564823,5594.720536,5319.239809,3280.342511,4550.856151
